,Position,Track Name,Artist,Streams,URL,date
0,1,Dance Monkey,Tones And I,50241241,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-05
1,2,Yummy,Justin Bieber,36772939,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-05
2,3,ROXANNE,Arizona Zervas,33546219,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-05
3,4,The Box,Roddy Ricch,32333490,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-05
4,5,Tusa,KAROL G,29519007,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-05
5,6,Blinding Lights,The Weeknd,29198353,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-05
6,7,Falling,Trevor Daniel,28253241,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-05
7,8,Don't Start Now,Dua Lipa,27338884,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-05
8,9,Memories,Maroon 5,27008690,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-01-05
9,10,Circles,Post Malone,26365136,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-01-05
10,11,everything i wanted,Billie Eilish,23713150,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-01-05
11,12,Señorita,Shawn Mendes,21757299,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-01-05
12,13,RITMO (Bad Boys For Life),Black Eyed Peas,20528253,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,2020-01-05
13,14,Someone You Loved,Lewis Capaldi,19959201,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-01-05
14,15,My Oh My (feat. DaBaby),Camila Cabello,19300578,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2020-01-05
15,16,Adore You,Harry Styles,19186086,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-01-05
